1	3155335	3155675	1	-0.206635	27	0.00014	0.0017	0.33531	0.54194
1	3067361	3071398	8.1e-39	-0.196584	384	4.6e-14	2.9e-43	0.048757	0.24534
1	3231281	3231517	1	0.170879	19	0.0068	0.083	0.80285	0.63197
1	3238596	3238797	1	-0.195210	17	0.46	0.017	0.36266	0.55787
1	3240945	3241736	1	-0.196047	57	1.9e-05	0.00064	0.43376	0.62981
1	3247405	3248079	2.8e-10	-0.252865	65	4.6e-14	1e-14	0.052047	0.30491
1	3278812	3279488	1	0.146036	39	5.4e-06	9.6e-05	0.80714	0.6611
1	3323351	3323697	1	-0.238026	24	1.7e-06	0.00025	0.12969	0.36771
1	3393538	3394471	0.0027	-0.156025	39	5.1e-09	9.8e-08	0.0223	0.17833
1	3404705	3405746	0.034	0.182515	62	8.4e-09	1.2e-06	0.84035	0.65783
1	3414476	3414715	1	0.176566	19	0.011	0.0019	0.86827	0.69171
1	3411427	3412860	5.6e-06	0.210569	93	4.2e-14	2e-10	0.8663	0.65573
1	3425448	3425762	1	0.114833	22	0.057	0.17	0.89313	0.7783
1	3543310	3543705	0.061	0.330183	25	3.9e-11	2.2e-06	0.67824	0.34806
1	3583338	3583906	1	-0.104352	12	0.89	0.78	0.78704	0.89139
1	3649780	3653072	1	-0.100514	210	0.017	0.0014	0.046593	0.14711
1	3706754	3706957	1	-0.188796	15	0.027	0.051	0.72231	0.91111
1	3732730	3733110	0.0069	-0.363451	29	2.6e-06	2.5e-07	0.47684	0.84029
1	3891926	3892672	1	-0.126511	16	0.41	0.46	0.71426	0.84077
1	4132573	4133183	1	0.149210	33	3.3e-05	0.0016	0.87699	0.72778
1	4161327	4161612	1	0.247273	15	0.03	0.051	0.65658	0.4093
1	4666516	4666807	1	0.236053	22	0.00035	0.00077	0.88948	0.65342
1	4772291	4772493	1	0.199876	17	0.00047	0.0067	0.91955	0.71967
1	4653929	4656495	1.6e-52	-0.290930	300	4.5e-14	5.8e-57	0.046603	0.33753
1	6026184	6026434	1	-0.136215	20	0.00044	0.00061	0.17017	0.30638
1	6127683	6128175	1	-0.258630	19	0.00027	0.0069	0.044599	0.30323
1	6142058	6142299	1	0.292516	1	0.67	1	0.95918	0.66667
1	6148656	6148979	1	-0.115324	16	0.044	0.11	0.068527	0.18385
1	6180971	6181191	1	-0.153742	15	1.5e-05	0.0018	0.028835	0.18258
1	6418997	6420878	0.00014	-0.156381	173	3.5e-05	5.1e-09	0.03734	0.19372
1	6440108	6441070	0.00032	-0.203088	98	4.7e-07	1.2e-08	0.04953	0.25262
1	6451629	6452050	1	-0.110134	31	0.027	0.0099	0.64479	0.75492
1	6447147	6449126	9.3e-49	-0.577590	149	4.7e-14	3.3e-53	0.014108	0.5917
1	6456064	6456265	1	-0.267462	15	0.00023	0.0018	0.41012	0.67758
1	6460524	6461895	0.0002	-0.419766	61	1.6e-10	7.1e-09	0.44563	0.86539
1	6466114	6466361	1	-0.112935	31	0.0034	0.00091	0.51758	0.63052
1	6454048	6455985	6.8e-60	-0.566915	199	3.2e-14	2.4e-64	0.11426	0.68118
1	6599065	6599445	1	-0.162927	27	0.024	0.17	0.59231	0.75524
1	6961941	6962248	0.0067	-0.325711	22	1.5e-08	2.4e-07	0.4317	0.75741
1	7062459	7062667	1	0.102885	16	0.052	0.14	0.83027	0.72738
1	7827138	7827416	1	-0.124962	7	0.26	0.17	0.82266	0.94762
1	8211936	8212142	1	0.159509	9	0.11	0.051	0.45918	0.29967
1	8343637	8344042	2.1e-05	0.477026	32	1.3e-12	7.5e-10	0.72624	0.24922
1	9039221	9040454	0.015	-0.228668	79	3.6e-08	5.4e-07	0.59362	0.82229
1	10638242	10640041	0.095	-0.244978	143	9.6e-10	3.4e-06	0.47742	0.7224
1	10704392	10704868	3.4e-07	0.385668	36	1.9e-13	1.2e-11	0.67854	0.29287
1	10888467	10889109	0.0072	-0.267785	33	8.4e-08	2.6e-07	0.067601	0.33539
1	11501309	11502099	6.9e-08	-0.389557	66	5e-14	2.5e-12	0.41546	0.80501
1	11762082	11762306	1	0.168625	19	0.11	0.1	0.22844	0.059816
1	11859058	11859498	1	-0.111913	22	0.0014	0.0026	0.083632	0.19555
1	12063431	12064091	0.053	-0.194040	28	7.4e-08	1.9e-06	0.050398	0.24444
1	12166819	12167655	0.0008	-0.169328	61	1.6e-07	2.9e-08	0.01786	0.18719
1	12540321	12540530	1	-0.291881	18	0.0001	0.0096	0.19247	0.48435
1	13583642	13584373	0.021	-0.154889	45	1.3e-06	7.5e-07	0.017731	0.17262
1	14801087	14801373	1	-0.437208	15	1.3e-05	0.00034	0.49576	0.93297
1	15048567	15048917	1	0.142286	8	0.058	0.044	0.88511	0.74283
1	15214685	15214951	1	-0.161593	13	0.17	0.025	0.75501	0.9166
1	15744133	15744358	1	-0.224681	18	0.018	0.031	0.64104	0.86572
1	16073153	16073496	1	-0.365853	1	0.67	1	0.13415	0.5
1	16167566	16168010	1	-0.172269	1	0.67	1	0.35714	0.52941
1	16206422	16208085	1	-0.115103	63	0.29	0.54	0.098278	0.21338
1	16226831	16227165	0.00019	-0.522946	27	6.5e-11	6.9e-09	0.12193	0.64487
1	16520785	16521397	0.043	-0.459962	33	7.9e-11	1.6e-06	0.1918	0.65177
1	16534378	16535801	2.4e-07	-0.304120	100	4.2e-14	8.6e-12	0.14388	0.448
1	16646990	16648550	0.076	-0.151282	112	0.00012	2.7e-06	0.22989	0.38117
1	16680247	16680656	1	-0.176738	14	0.34	0.037	0.57351	0.75025
1	16696491	16696789	2.5e-05	-0.246714	25	7.9e-10	8.9e-10	0.064522	0.31124
1	16692188	16694464	1	-0.101691	110	0.00078	0.00018	0.048195	0.14989
1	16699567	16701447	1	-0.143773	59	3e-05	0.00011	0.088861	0.23263
1	16724996	16725396	0.0074	-0.253744	38	3.2e-08	2.7e-07	0.64965	0.9034
1	16758916	16760479	2.2e-05	-0.382629	85	4.5e-14	7.9e-10	0.2798	0.66243
1	16859616	16860028	3.5e-07	-0.510281	36	9.6e-13	1.3e-11	0.18731	0.69759
1	16871066	16871354	1	-0.183119	23	7.4e-06	0.00011	0.76858	0.9517
1	16872131	16873554	6.8e-09	-0.290032	87	3.4e-13	2.4e-13	0.13788	0.42791
1	17149207	17149580	3.5e-08	-0.458872	37	4.5e-14	1.3e-12	0.22567	0.68454
1	17622957	17623175	1	-0.117654	8	0.54	0.71	0.85588	0.97354
1	18365380	18365587	1	-0.135407	18	0.023	0.039	0.83346	0.96887
